4851	2845
4851	10420
4851	2618
4851	8843
4851	2850
4851	483
4851	968
4851	3470
4851	3737
4851	2249
4851	8866
4851	10477
4851	1190
4851	7766
4851	4659
4851	985
4851	7215
4851	1745
4851	1235
4852	9446
4852	2899
4852	4983
4852	4989
4852	2650
7818	5782
7818	9929
7818	9927
7818	9611
7818	1274
7818	3311
7818	9254
4728	9808
4728	9822
4728	6562
4728	6768
4728	9798
4728	9804
4728	9802
4728	9800
4728	9529
4728	9803
4728	9528
4728	1355
4728	9799
4727	9668
4727	8578
4727	7373
4727	7209
7815	10068
7815	7079
7815	9929
7816	9081
7816	7087
7816	10084
7816	6846
7816	1082
7816	6277
7816	9929
7816	5054
7816	9404
7816	7969
7816	2964
7817	10778
7817	2999
7817	5314
7817	6723
7817	2563
7817	6516
7817	1002
7817	717
7817	8598
7817	7175
7817	6728
1235	8843
1235	8846
1235	2850
1235	5658
1235	2845
2736	1696
2736	8665
2736	9769
10406	6436
10406	10928
10406	1676
10406	1677
10406	7995
10406	1682
10406	1678
10406	8395
10406	9374
10406	8844
10406	8157
9298	4876
9298	286
9298	1554
9298	8329
9298	7720
9298	2671
9298	816
9298	3464
9298	235
9298	5052
9298	4579
1792	4137
1792	10704
1792	9131
1792	3714
1792	5496
1792	3713
1476	5265
1476	1689
1476	3671
1476	4507
1476	1109
1476	7121
1476	10237
1476	8806
1476	6524
1476	6588
1476	6590
1476	9559
1476	6086
1476	214
1476	1690
1476	8421
1476	8487
1476	2191
1476	9739
1476	8313
1476	5774
1476	9061
1476	1662
1476	5149
1476	9673
1476	1041
1476	139
1476	4084
1476	10453
1476	3263
1476	9636
1476	595
1476	1961
1476	1960
1476	4401
1476	3311
1476	4549
1476	9073
1476	2023
1476	3619
1476	5
1476	332
1476	3952
1476	10460
1476	3631
6418	2405
6418	5718
6418	163
6418	3490
6418	2538
6418	3045
6418	1217
6418	2650
6418	3478
6418	5722
1976	6117
1976	822
1976	1436
1976	3830
1976	7893
1976	925
4355	9106
4355	3510
4355	269
4355	9105
4355	6689
4355	3726
4355	6802
4355	1780
4355	1793
