ZC3H18	SRSF12
ZC3H18	PRPF4B
ZC3H18	DHX35
ZC3H18	RBMXL1
ZC3H18	MKRN2
ZC3H18	UPF1
ZC3H18	SRSF10
ZC3H18	JPH4
ZC3H18	WDR83
ZC3H18	ZNF214
ZC3H18	VANGL1
ZC3H18	KIAA1429
ZC3H18	RSBN1
ZC3H18	LUC7L
ZC3H18	ZNF816
ZC3H18	NKTR
ZC3H18	EXOSC10
ZC3H18	TSPYL1
ZC3H18	CPSF4
ZC3H18	SRSF1
ZC3H18	SLTM
ZC3H18	PPHLN1
ZC3H18	AQR
ZC3H18	U2AF2
ZC3H18	C10orf2
ZC3H18	CTR9
ZC3H18	PRPF40A
ZC3H18	PTGER3
ZC3H18	PRPF38B
ZC3H18	ZC3H13
ZC3H18	ZCCHC8
ZC3H18	RBM15
ZC3H18	CDC40
ZC3H18	ERMAP
ZC3H18	FIP1L1
ZC3H18	TOPORS
ZC3H18	ZFC3H1
ZC3H18	LUC7L2
ZC3H18	GSPT2
ZC3H18	WDR33
ZC3H18	TSPYL2
ZC3H18	C9orf41
ZC3H18	CAMKV
ZC3H18	ZCCHC3
ZC3H18	RBM15B
ZC3H18	CRNKL1
ZC3H18	NFKBIL1
ZC3H18	YTHDC1
ZC3H18	SNW1
ZC3H18	ZC3H11A
ZC3H18	RALY
ZC3H18	SRSF8
ZC3H18	SRRM1
ZC3H18	SRRT
ZC3H18	PIP5K1A
ZC3H18	SRRM2
ZC3H18	RBBP6
ZC3H18	TRA2A
ZC3H18	KEAP1
ZC3H18	NKAP
ZC3H18	RBM25
ZC3H18	ISY1
ZC3H18	PPIG
ZC3H18	CLK1
ZC3H18	CLK2
ZC3H18	CLK3
ZC3H18	CLK4
ZC3H18	XAB2
ZC3H18	PPIE
DHX8	MORC2
DHX8	NUDCD1
DHX8	SYF2
DHX8	CDX1
DHX8	RPL18A
DHX8	CHCHD10
DHX8	RPL36AL
DHX8	C19orf29
DHX8	JMJD6
DHX8	AQR
DHX8	SNIP1
DHX8	CCDC12
