CL:0000010	CL:0000001	is_a	cell
CL:0000000	CL:0000003	is_a	cell
CL:0000057	CL:0000005	is_a	cell
CL:0000101	CL:0000006	is_a	cell
CL:0000197	CL:0000006	is_a	cell
CL:0002321	CL:0000007	is_a	cell
CL:0000333	CL:0000008	is_a	cell
CL:0000578	CL:0000010	is_a	cell
CL:0000333	CL:0000011	is_a	cell
CL:0000034	CL:0000014	is_a	cell
CL:0000039	CL:0000014	is_a	cell
CL:0000586	CL:0000015	is_a	cell
CL:0000014	CL:0000016	is_a	cell
CL:0000015	CL:0000016	is_a	cell
CL:0000015	CL:0000017	is_a	cell
CL:0000015	CL:0000018	is_a	cell
CL:0000413	CL:0000018	is_a	cell
CL:0000064	CL:0000019	is_a	cell
CL:0000219	CL:0000019	is_a	cell
CL:0000408	CL:0000019	is_a	cell
CL:0000015	CL:0000020	is_a	cell
CL:0000586	CL:0000021	is_a	cell
CL:0000014	CL:0000022	is_a	cell
CL:0000021	CL:0000022	is_a	cell
CL:0000021	CL:0000023	is_a	cell
CL:0000021	CL:0000024	is_a	cell
CL:0000675	CL:0000025	is_a	cell
CL:0000039	CL:0000026	is_a	cell
CL:0000412	CL:0000026	is_a	cell
CL:0000192	CL:0000027	is_a	cell
CL:2000029	CL:0000028	is_a	cell
CL:0000540	CL:0000029	is_a	cell
CL:0000055	CL:0000030	is_a	cell
CL:0000047	CL:0000031	is_a	cell
CL:0000055	CL:0000031	is_a	cell
CL:0002321	CL:0000032	is_a	cell
CL:0000151	CL:0000033	is_a	cell
CL:0011115	CL:0000034	is_a	cell
CL:0000723	CL:0000035	is_a	cell
CL:0000035	CL:0000036	is_a	cell
CL:0000723	CL:0000037	is_a	cell
CL:0008001	CL:0000037	is_a	cell
CL:0000764	CL:0000038	is_a	cell
CL:0000839	CL:0000038	is_a	cell
CL:0000548	CL:0000039	is_a	cell
CL:0000763	CL:0000040	is_a	cell
CL:0002194	CL:0000040	is_a	cell
CL:0000771	CL:0000041	is_a	cell
CL:0002242	CL:0000041	is_a	cell
CL:0000834	CL:0000042	is_a	cell
CL:0000835	CL:0000042	is_a	cell
CL:0000767	CL:0000043	is_a	cell
